device width,number of chips,h,solve time,solution tipe
8,4,8,0.603065013885498,optimal
9,5,9,0.5364692211151123,optimal
10,6,10,0.4799635410308838,optimal
11,7,11,0.4417746067047119,optimal
12,8,12,0.5113651752471924,optimal
13,9,13,0.5346708297729492,optimal
14,9,14,0.488114595413208,optimal
15,10,15,0.6259095668792725,optimal
16,10,16,0.5044302940368652,optimal
17,12,17,0.51369309425354,optimal
18,16,18,1.3278682231903076,optimal
19,14,19,0.58270263671875,optimal
20,14,20,0.8081049919128418,optimal
21,15,21,0.6805024147033691,optimal
22,16,22,0.8515748977661133,optimal
23,19,23,2.3830111026763916,optimal
24,18,24,1.0327937602996826,optimal
25,19,25,0.6900498867034912,optimal
26,22,26,2.2424306869506836,optimal
27,21,27,2.5727293491363525,optimal
28,22,28,2.2583494186401367,optimal
29,24,29,10.526260614395142,optimal
30,20,30,3.332521915435791,optimal
31,19,31,1.4958264827728271,optimal
32,27,32,64.93093013763428,optimal
33,23,33,8.511482000350952,optimal
34,21,34,2.5803208351135254,optimal
35,22,35,3.9491169452667236,optimal
36,23,36,3.1354730129241943,optimal
37,27,37,236.2795627117157,optimal
38,19,38,0.7189860343933105,optimal
39,29,40,7546.787512302399,non-optimal
40,20,40,0.8620383739471436,optimal
15,25,40,1.6786508560180664,optimal
15,25,40,1.4160163402557373,optimal
15,25,40,1.89754056930542,optimal
30,28,60,272.51596903800964,optimal
30,29,61,300.3177959918976,non-optimal
30,28,60,13.931960582733154,optimal
60,73,92,301.31685614585876,non-optimal
