ID,SATModel_b_w+ sb,SATModel_b_w,SATModelBorders_b_w+ sb,SATModelBorders_b_w
1,\textbf{8},\textbf{8},\textbf{8},\textbf{8}
2,\textbf{9},\textbf{9},\textbf{9},\textbf{9}
3,\textbf{10},\textbf{10},\textbf{10},\textbf{10}
4,\textbf{11},\textbf{11},\textbf{11},\textbf{11}
5,\textbf{12},\textbf{12},\textbf{12},\textbf{12}
6,\textbf{13},\textbf{13},\textbf{13},\textbf{13}
7,\textbf{14},\textbf{14},\textbf{14},\textbf{14}
8,\textbf{15},\textbf{15},\textbf{15},\textbf{15}
9,\textbf{16},\textbf{16},\textbf{16},\textbf{16}
10,\textbf{17},\textbf{17},\textbf{17},\textbf{17}
11,N|A,N|A,N|A,N|A
12,N|A,N|A,\textbf{19},\textbf{19}
13,N|A,\textbf{20},\textbf{20},\textbf{20}
14,N|A,N|A,N|A,\textbf{21}
15,N|A,N|A,N|A,\textbf{22}
16,N|A,N|A,N|A,N|A
17,N|A,N|A,N|A,N|A
18,N|A,N|A,N|A,N|A
19,N|A,N|A,N|A,N|A
20,N|A,N|A,N|A,N|A
21,-,-,-,-
22,-,-,-,-
23,-,-,-,-
24,-,-,-,-
25,-,-,-,-
26,-,-,-,-
27,-,-,-,-
28,-,-,-,-
29,-,-,-,-
30,-,-,-,-
31,-,-,-,-
32,-,-,-,-
33,-,-,-,-
34,-,-,-,-
35,-,-,-,-
36,-,-,-,-
37,-,-,-,-
38,-,-,-,-
39,-,-,-,-
40,-,-,-,-
